BARANG,NAMA_BARANG_RAPIH,KATEGORI,MEREK,SPESIFIKASI,PART_NO,COA
ANTI SPLASH TAPE LAKBAN TAHAN PANAS,LAIN-LAIN ANTI SPLASH TAPE LAKBAN TAHAN PANAS,LAIN-LAIN,,,,BIAYA CONSUMABLES KAPAL
APARAT CYLINDER OIL ( REP ),CHEMICAL APARAT CYLINDER OIL REP,CHEMICAL,,,,PERLENGKAPAN KAPAL - MESIN
APEX FUEL OIL TEST KIT,CHEMICAL APEX FUEL OIL TEST KIT,CHEMICAL,,,,BIAYA CONSUMABLES KAPAL
APRON,LAIN-LAIN APRON,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - DECK
AQUA PROOF,LAIN-LAIN AQUA PROOF,LAIN-LAIN,,,,BIAYA CONSUMABLES KAPAL
AQUA PROOF (PAIL),LAIN-LAIN AQUA PROOF PAIL,LAIN-LAIN,,,,BIAYA CONSUMABLES KAPAL
AQUA PROOF UK.4 KG,LAIN-LAIN AQUA PROOF UK 4 KG 4 KG,LAIN-LAIN,,4 KG,,BIAYA CONSUMABLES KAPAL
AQUA PROOF(1 LITERAN),LAIN-LAIN AQUA PROOF 1 LITERAN,LAIN-LAIN,,,,BIAYA CONSUMABLES KAPAL
"AR 2307 LEVER ROCKER, CUMMINS NTA 855 DM, SO NO:13019",LAIN-LAIN AR 2307 LEVER ROCKER NTA 855 DM SO NO 13019 CUMMINS,LAIN-LAIN,CUMMINS,,,PERLENGKAPAN KAPAL - MESIN
"AR10626 SHAFT,CAM FOLLOWER,CUMMINS KTA38M2",PUMP SHAFT CAM FOLLOWER KTA38M2 CUMMINS (P/N: AR10626),PUMP,CUMMINS,,AR10626,PERLENGKAPAN KAPAL - MESIN
"AR12250 SET,MAIN BEARING STD,CUMMINS KTA 38 M2",BEARING SET MAIN BEARING STD KTA 38 M2 38 M CUMMINS (P/N: AR12250),BEARING,CUMMINS,38 M,AR12250,PERLENGKAPAN KAPAL - MESIN
"AR12270 SHEEL MAIN BEARING,CUMMINS K19-DM",BEARING SHEEL MAIN BEARING K19 DM CUMMINS (P/N: AR12270),BEARING,CUMMINS,,AR12270,PERLENGKAPAN KAPAL - MESIN
"AR12271 MAIN BEARING SHELL,CUMMINS K19-DM",BEARING MAIN BEARING SHELL K19 DM CUMMINS (P/N: AR12271),BEARING,CUMMINS,,AR12271,PERLENGKAPAN KAPAL - MESIN
ARDUINO ATMEGA 2560,LAIN-LAIN ARDUINO ATMEGA 2560,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
ARM ASSY ROCKER EXH P/N:747644-11660 YANMAR M220UN,LAIN-LAIN ARM ASSY ROCKER EXH P N M220UN YANMAR (P/N: 747644-11660),LAIN-LAIN,YANMAR,,747644-11660,PERLENGKAPAN KAPAL - MESIN
ARM ASSY ROCKER INT P/N:747644-11650 YANMAR M220L UN,LAIN-LAIN ARM ASSY ROCKER INT P N M220L UN YANMAR (P/N: 747644-11650),LAIN-LAIN,YANMAR,,747644-11650,PERLENGKAPAN KAPAL - MESIN
ARMAFLEX 90 X 120,LAIN-LAIN ARMAFLEX 90 X 120 90 X 120,LAIN-LAIN,,90 X 120,,PERLENGKAPAN KAPAL - DECK
ART DISC A80 NR,LAIN-LAIN ART DISC A80 NR,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS + IMPELLER POMPA ME (REP),PUMP AS IMPELLER POMPA ME REP,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
"AS 4012 MS FLEXIBLE HOSE,CUMMINS NTA 855-D(M)",PIPE FITTING AS 4012 MS FLEXIBLE HOSE NTA 855 D M 4012 M CUMMINS,PIPE FITTING,CUMMINS,4012 M,,PERLENGKAPAN KAPAL - MESIN
AS ADJUSTING KAMPAS DEREK (REP),LAIN-LAIN AS ADJUSTING KAMPAS DEREK REP,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
"AS ALUMINIUM 4"" X 500 MM","LAIN-LAIN AS ALUUM 4 X 500 MM 4"", 500 MM MINI",LAIN-LAIN,MINI,"4"", 500 MM",,PERLENGKAPAN KAPAL - MESIN
"AS ALUMINIUM 4"" X 900 MM","LAIN-LAIN AS ALUUM 4 X 900 MM 4"", 900 MM MINI",LAIN-LAIN,MINI,"4"", 900 MM",,PERLENGKAPAN KAPAL - MESIN
"AS ALUMINIUM 6061 UK. 9"" X 100 MM","LAIN-LAIN AS ALUUM 6061 UK 9 X 100 MM 100 MM, 9"" MINI",LAIN-LAIN,MINI,"100 MM, 9""",,PERLENGKAPAN KAPAL - MESIN
"AS ALUMINIUM BRONZE DIA. 2"" X 400 MM","LAIN-LAIN AS ALUUM BRONZE DIA 2 X 400 MM 2"", 400 MM MINI",LAIN-LAIN,MINI,"2"", 400 MM",,PERLENGKAPAN KAPAL - MESIN
"AS ALUMINIUM DIA 3"" X 750 MM","LAIN-LAIN AS ALUUM DIA 3 X 750 MM 3"", 750 MM MINI",LAIN-LAIN,MINI,"3"", 750 MM",,PERLENGKAPAN KAPAL - MESIN
"AS ALUMINIUM DIA 4-1/2"" X P. 880 MM","LAIN-LAIN AS ALUUM DIA 4 1 2 X P 880 MM 2"", 880 MM MINI",LAIN-LAIN,MINI,"2"", 880 MM",,PERLENGKAPAN KAPAL - MESIN
"AS ALUMINIUM DIA 5""","LAIN-LAIN AS ALUUM DIA 5 5"" MINI",LAIN-LAIN,MINI,"5""",,PERLENGKAPAN KAPAL - DECK
"AS ALUMINIUM DIA.4 1/2"" X 500 MM","LAIN-LAIN AS ALUUM DIA 4 1 2 X 500 MM 2"", 500 MM MINI",LAIN-LAIN,MINI,"2"", 500 MM",,PERLENGKAPAN KAPAL - MESIN
"AS ALUMINIUM DIAMETER 4"" X P.600 MM","LAIN-LAIN AS ALUUM DIAMETER 4 X P 600 MM 4"", 600 MM MINI",LAIN-LAIN,MINI,"4"", 600 MM",,PERLENGKAPAN KAPAL - MESIN
AS ALUMINIUM Ø 38,LAIN-LAIN AS ALUUM Ø 38 MINI,LAIN-LAIN,MINI,,,PERLENGKAPAN KAPAL - MESIN
"AS ALUMINIUM Ø 6""","LAIN-LAIN AS ALUUM Ø 6 6"" MINI",LAIN-LAIN,MINI,"6""",,PERLENGKAPAN KAPAL - MESIN
AS BESI 1730 DIA 16MM X 1.000MM,"LAIN-LAIN AS BESI 1730 DIA 16MM X 1 000MM 1.000MM, 16MM",LAIN-LAIN,,"1.000MM, 16MM",,PERLENGKAPAN KAPAL - MESIN
AS BESI 1730 DIA 30 X P. 1.500 MM,LAIN-LAIN AS BESI 1730 DIA 30 X P 1 500 MM 1.500 MM,LAIN-LAIN,,1.500 MM,,PERLENGKAPAN KAPAL - MESIN
AS BESI 1730 R Ø 25,LAIN-LAIN AS BESI 1730 R Ø 25,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS BESI 1730 R Ø 35,LAIN-LAIN AS BESI 1730 R Ø 35,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS BESI 1730 R Ø 38,LAIN-LAIN AS BESI 1730 R Ø 38,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - DECK
AS BESI 1730 R Ø 40,LAIN-LAIN AS BESI 1730 R Ø 40,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS BESI 1730 R Ø 90 MM,LAIN-LAIN AS BESI 1730 R Ø 90 MM 90 MM,LAIN-LAIN,,90 MM,,PERLENGKAPAN KAPAL - MESIN
AS BESI 6582 N Ø 140 X 85 MM,"LAIN-LAIN AS BESI 6582 N Ø 140 X 85 MM 140 X 85, 85 MM",LAIN-LAIN,,"140 X 85, 85 MM",,PERLENGKAPAN KAPAL - MESIN
AS BESI 6582 N Ø 22 MM,LAIN-LAIN AS BESI 6582 N Ø 22 MM 22 MM,LAIN-LAIN,,22 MM,,PERLENGKAPAN KAPAL - MESIN
AS BESI 6582 N Ø 30 X 2000 MM,"LAIN-LAIN AS BESI 6582 N Ø 30 X 2000 MM 2000 MM, 30 X 2000",LAIN-LAIN,,"2000 MM, 30 X 2000",,PERLENGKAPAN KAPAL - MESIN
AS BESI 6582 N Ø 60 X 250 MM,"LAIN-LAIN AS BESI 6582 N Ø 60 X 250 MM 250 MM, 60 X 250",LAIN-LAIN,,"250 MM, 60 X 250",,PERLENGKAPAN KAPAL - MESIN
AS BESI 6582 PREHARDENT DIA 150 X 225 MM,"LAIN-LAIN AS BESI 6582 PREHARDENT DIA 150 X 225 MM 150 X 225, 225 MM",LAIN-LAIN,,"150 X 225, 225 MM",,PERLENGKAPAN KAPAL - MESIN
AS BESI 6582 R Ø 105,LAIN-LAIN AS BESI 6582 R Ø 105,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS BESI 6582 R Ø 32 MM.,LAIN-LAIN AS BESI 6582 R Ø 32 MM 32 MM,LAIN-LAIN,,32 MM,,PERLENGKAPAN KAPAL - MESIN
AS BESI 6582 R Ø 40,LAIN-LAIN AS BESI 6582 R Ø 40,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS BESI DIA 35 MM X 100 MM,"LAIN-LAIN AS BESI DIA 35 MM X 100 MM 100 MM, 35 MM",LAIN-LAIN,,"100 MM, 35 MM",,PERLENGKAPAN KAPAL - MESIN
AS BESI DIAMETER 40 MM,LAIN-LAIN AS BESI DIAMETER 40 MM 40 MM,LAIN-LAIN,,40 MM,,PERLENGKAPAN KAPAL - MESIN
AS BESI EB 1730 Ø 13 X 3000 MM,"LAIN-LAIN AS BESI EB 1730 Ø 13 X 3000 MM 13 X 3000, 3000 MM",LAIN-LAIN,,"13 X 3000, 3000 MM",,PERLENGKAPAN KAPAL - MESIN
AS BESI EB 1730 Ø 300 X 35 MM,"LAIN-LAIN AS BESI EB 1730 Ø 300 X 35 MM 300 X 35, 35 MM",LAIN-LAIN,,"300 X 35, 35 MM",,PERLENGKAPAN KAPAL - MESIN
AS BESI EB 1730 Ø 32 X 1000 MM,"LAIN-LAIN AS BESI EB 1730 Ø 32 X 1000 MM 1000 MM, 32 X 1000",LAIN-LAIN,,"1000 MM, 32 X 1000",,PERLENGKAPAN KAPAL - MESIN
AS BESI EB 1730 Ø 35 X 1200 MM,"LAIN-LAIN AS BESI EB 1730 Ø 35 X 1200 MM 1200 MM, 35 X 1200",LAIN-LAIN,,"1200 MM, 35 X 1200",,PERLENGKAPAN KAPAL - MESIN
AS BESI EB 1730 Ø 60 X 220 MM,"LAIN-LAIN AS BESI EB 1730 Ø 60 X 220 MM 220 MM, 60 X 220",LAIN-LAIN,,"220 MM, 60 X 220",,PERLENGKAPAN KAPAL - MESIN
AS BESI EWK 1730  Ø 16 MM,LAIN-LAIN AS BESI EWK 1730 Ø 16 MM 16 MM,LAIN-LAIN,,16 MM,,PERLENGKAPAN KAPAL - MESIN
AS BESI EWK 1730 Ø 100 MM,LAIN-LAIN AS BESI EWK 1730 Ø 100 MM 100 MM,LAIN-LAIN,,100 MM,,PERLENGKAPAN KAPAL - MESIN
AS BESI EWK 1730 Ø 160,LAIN-LAIN AS BESI EWK 1730 Ø 160,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS BESI EWK 1730 Ø 65,LAIN-LAIN AS BESI EWK 1730 Ø 65,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS BESI EWK 1730 Ø 90 X 50 MM,"LAIN-LAIN AS BESI EWK 1730 Ø 90 X 50 MM 50 MM, 90 X 50",LAIN-LAIN,,"50 MM, 90 X 50",,PERLENGKAPAN KAPAL - MESIN
AS BESI EWK 6582 Ø 100,LAIN-LAIN AS BESI EWK 6582 Ø 100,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS BESI EWK 6582 Ø 16 MM,LAIN-LAIN AS BESI EWK 6582 Ø 16 MM 16 MM,LAIN-LAIN,,16 MM,,PERLENGKAPAN KAPAL - MESIN
AS BESI EWK 6582 Ø 20 MM,LAIN-LAIN AS BESI EWK 6582 Ø 20 MM 20 MM,LAIN-LAIN,,20 MM,,PERLENGKAPAN KAPAL - MESIN
AS BESI EWK 6582 Ø 30 MM,LAIN-LAIN AS BESI EWK 6582 Ø 30 MM 30 MM,LAIN-LAIN,,30 MM,,PERLENGKAPAN KAPAL - MESIN
AS BESI EWK 6582 Ø 50 MM,LAIN-LAIN AS BESI EWK 6582 Ø 50 MM 50 MM,LAIN-LAIN,,50 MM,,PERLENGKAPAN KAPAL - MESIN
AS BESI EWK 6582 Ø 60 MM,LAIN-LAIN AS BESI EWK 6582 Ø 60 MM 60 MM,LAIN-LAIN,,60 MM,,PERLENGKAPAN KAPAL - MESIN
AS BESI EWK 6582 Ø 80 MM,LAIN-LAIN AS BESI EWK 6582 Ø 80 MM 80 MM,LAIN-LAIN,,80 MM,,PERLENGKAPAN KAPAL - MESIN
AS BESI KRUPP 1191 DIA 95,LAIN-LAIN AS BESI KRUPP 1191 DIA 95,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS BESI KRUPP 1191 DIA. 90 MM,LAIN-LAIN AS BESI KRUPP 1191 DIA 90 MM 90 MM,LAIN-LAIN,,90 MM,,PERLENGKAPAN KAPAL - MESIN
AS BESI KRUPP 1191 Ø 150 X 70 MM,"LAIN-LAIN AS BESI KRUPP 1191 Ø 150 X 70 MM 150 X 70, 70 MM",LAIN-LAIN,,"150 X 70, 70 MM",,PERLENGKAPAN KAPAL - MESIN
AS BESI KRUPP 1191 Ø 20 X 100 MM,"LAIN-LAIN AS BESI KRUPP 1191 Ø 20 X 100 MM 100 MM, 20 X 100",LAIN-LAIN,,"100 MM, 20 X 100",,PERLENGKAPAN KAPAL - MESIN
AS BESI KRUPP 1191 Ø 55 X 45 MM,"LAIN-LAIN AS BESI KRUPP 1191 Ø 55 X 45 MM 45 MM, 55 X 45",LAIN-LAIN,,"45 MM, 55 X 45",,PERLENGKAPAN KAPAL - MESIN
AS BESI KRUPP 6582 DIA 85 X 420 MM,"LAIN-LAIN AS BESI KRUPP 6582 DIA 85 X 420 MM 420 MM, 85 X 420",LAIN-LAIN,,"420 MM, 85 X 420",,PERLENGKAPAN KAPAL - MESIN
AS BESI KRUPP 6582 Ø 22,LAIN-LAIN AS BESI KRUPP 6582 Ø 22,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS BESI KRUPP 6582 Ø 50,LAIN-LAIN AS BESI KRUPP 6582 Ø 50,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS BESI MODEL PAYUNG + GOTRI,LAIN-LAIN AS BESI MODEL PAYUNG GOTRI,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
"AS BESI Ø 4""","LAIN-LAIN AS BESI Ø 4 4""",LAIN-LAIN,,"4""",,PERLENGKAPAN KAPAL - MESIN
AS BESI S45C R DIAMETER 170,LAIN-LAIN AS BESI S45C R DIAMETER 170,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS BESI SEGI 6 28 X 1.000 MM,"LAIN-LAIN AS BESI SEGI 6 28 X 1 000 MM 1.000 MM, 28 X 1.000",LAIN-LAIN,,"1.000 MM, 28 X 1.000",,PERLENGKAPAN KAPAL - MESIN
AS BESI SEGI 6 Ø 32,LAIN-LAIN AS BESI SEGI 6 Ø 32,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS BESI SEGI 6.25 X 1.000 MM,"LAIN-LAIN AS BESI SEGI 6 25 X 1 000 MM 1.000 MM, 6.25 X 1.000",LAIN-LAIN,,"1.000 MM, 6.25 X 1.000",,PERLENGKAPAN KAPAL - MESIN
"AS BESI ST - 41 Ø 2-1/4""","LAIN-LAIN AS BESI ST 41 Ø 2 1 4 4""",LAIN-LAIN,,"4""",,PERLENGKAPAN KAPAL - MESIN
"AS BESI ST - 41 Ø 2"" X 6 MTR","LAIN-LAIN AS BESI ST 41 Ø 2 X 6 MTR 2"", 6 M",LAIN-LAIN,,"2"", 6 M",,PERLENGKAPAN KAPAL - MESIN
"AS BESI ST 41 OD 2 1/2"" X 600 MM","LAIN-LAIN AS BESI ST 41 OD 2 1 2 X 600 MM 2"", 600 MM",LAIN-LAIN,,"2"", 600 MM",,PERLENGKAPAN KAPAL - MESIN
AS BESI ST41 DIA 2.5”X P:5.METER,LAIN-LAIN AS BESI ST41 DIA 2 5 X P 5 METER,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS BESI TEW 6582 Ø 14 X 1000 MM,"LAIN-LAIN AS BESI TEW 6582 Ø 14 X 1000 MM 1000 MM, 14 X 1000",LAIN-LAIN,,"1000 MM, 14 X 1000",,PERLENGKAPAN KAPAL - MESIN
AS BESI THS 1730 DIA 190 MM,LAIN-LAIN AS BESI THS 1730 DIA 190 MM 190 MM,LAIN-LAIN,,190 MM,,PERLENGKAPAN KAPAL - MESIN
AS BESI THS 1730 DIA 20 X P .1.000 MM,LAIN-LAIN AS BESI THS 1730 DIA 20 X P 1 000 MM 1.000 MM,LAIN-LAIN,,1.000 MM,,PERLENGKAPAN KAPAL - MESIN
AS BESI THS 1730 DIA 45 X 1300 MM,"LAIN-LAIN AS BESI THS 1730 DIA 45 X 1300 MM 1300 MM, 45 X 1300",LAIN-LAIN,,"1300 MM, 45 X 1300",,PERLENGKAPAN KAPAL - MESIN
AS BESI THS 1730 Ø 80,LAIN-LAIN AS BESI THS 1730 Ø 80,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS BRONZE,LAIN-LAIN AS BRONZE,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS BRONZE 16 X 500 MM,"LAIN-LAIN AS BRONZE 16 X 500 MM 16 X 500, 500 MM",LAIN-LAIN,,"16 X 500, 500 MM",,PERLENGKAPAN KAPAL - MESIN
"AS BRONZE DIA 2"" X 200 MM","LAIN-LAIN AS BRONZE DIA 2 X 200 MM 2"", 200 MM",LAIN-LAIN,,"2"", 200 MM",,PERLENGKAPAN KAPAL - MESIN
"AS BRONZE DIA 2"" X 500 MM","LAIN-LAIN AS BRONZE DIA 2 X 500 MM 2"", 500 MM",LAIN-LAIN,,"2"", 500 MM",,PERLENGKAPAN KAPAL - MESIN
"AS BRONZE DIA. 2"" X 290 MM","LAIN-LAIN AS BRONZE DIA 2 X 290 MM 2"", 290 MM",LAIN-LAIN,,"2"", 290 MM",,PERLENGKAPAN KAPAL - MESIN
"AS BRONZE DIA.1,5"" X 500 MM","LAIN-LAIN AS BRONZE DIA 1 5 X 500 MM 1,5"", 500 MM",LAIN-LAIN,,"1,5"", 500 MM",,PERLENGKAPAN KAPAL - DECK
"AS BRONZE DIA.1""","LAIN-LAIN AS BRONZE DIA 1 1""",LAIN-LAIN,,"1""",,PERLENGKAPAN KAPAL - MESIN
"AS BRONZE Ø 1,25"" X 1.000 MM","LAIN-LAIN AS BRONZE Ø 1 25 X 1 000 MM 1,25"", 1.000 MM",LAIN-LAIN,,"1,25"", 1.000 MM",,PERLENGKAPAN KAPAL - MESIN
"AS BRONZE Ø 3,5"" X 55 MM","LAIN-LAIN AS BRONZE Ø 3 5 X 55 MM 3,5"", 55 MM",LAIN-LAIN,,"3,5"", 55 MM",,PERLENGKAPAN KAPAL - DECK
"AS BRONZE Ø 7""","LAIN-LAIN AS BRONZE Ø 7 7""",LAIN-LAIN,,"7""",,PERLENGKAPAN KAPAL - MESIN
AS CAST NYLON 100 MM X 1 M,"LAIN-LAIN AS CAST NYLON 100 MM X 1 M 1 M, 100 MM",LAIN-LAIN,,"1 M, 100 MM",,PERLENGKAPAN KAPAL - MESIN
AS CAST NYLON DIA. 150 MM X 15 CM,"LAIN-LAIN AS CAST NYLON DIA 150 MM X 15 CM 15 CM, 150 MM",LAIN-LAIN,,"15 CM, 150 MM",,PERLENGKAPAN KAPAL - MESIN
AS CAST NYLON Ø 110,LAIN-LAIN AS CAST NYLON Ø 110,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS CAST NYLON PA 6 G DIA 170 X 350,LAIN-LAIN AS CAST NYLON PA 6 G DIA 170 X 350 170 X 350,LAIN-LAIN,,170 X 350,,PERLENGKAPAN KAPAL - DECK
AS CAST NYLON PA 6 G Ø 60 MM X 1.000 MM,"LAIN-LAIN AS CAST NYLON PA 6 G Ø 60 MM X 1 000 MM 1.000 MM, 60 MM",LAIN-LAIN,,"1.000 MM, 60 MM",,PERLENGKAPAN KAPAL - DECK
AS CAST NYLON PA 6G Ø 130,LAIN-LAIN AS CAST NYLON PA 6G Ø 130,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - DECK
AS CAST NYLON PA 6G Ø 35,LAIN-LAIN AS CAST NYLON PA 6G Ø 35,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - DECK
AS CAST NYLON PA6G DIA. 70,LAIN-LAIN AS CAST NYLON PA6G DIA 70,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS COMPRESSOR GANDRUM (REP),LAIN-LAIN AS COMPRESSOR GANDRUM REP,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS DISTRIBUTOR UNSET ME (REP),LAIN-LAIN AS DISTRIBUTOR UNSET ME REP,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS DRAT (REP),LAIN-LAIN AS DRAT REP,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS DRIVEN GEAR GOVERNOOR AE ( REP ),LAIN-LAIN AS DRIVEN R GOVERNOOR AE REP GEA,LAIN-LAIN,GEA,,,PERLENGKAPAN KAPAL - MESIN
AS EBARA 80 SQPB,LAIN-LAIN AS 80 SQPB EBARA,LAIN-LAIN,EBARA,,,PERLENGKAPAN KAPAL - MESIN
AS FLUX CAST Ø 120 MM,LAIN-LAIN AS FLUX CAST Ø 120 MM 120 MM,LAIN-LAIN,,120 MM,,PERLENGKAPAN KAPAL - DECK
AS FLUX CAST Ø 70 X 1000 MM,"LAIN-LAIN AS FLUX CAST Ø 70 X 1000 MM 1000 MM, 70 X 1000",LAIN-LAIN,,"1000 MM, 70 X 1000",,PERLENGKAPAN KAPAL - MESIN
AS FLUX CAST Ø 70 X 90 MM,"LAIN-LAIN AS FLUX CAST Ø 70 X 90 MM 70 X 90, 90 MM",LAIN-LAIN,,"70 X 90, 90 MM",,PERLENGKAPAN KAPAL - MESIN
AS FLUX CAST Ø 75 MM,LAIN-LAIN AS FLUX CAST Ø 75 MM 75 MM,LAIN-LAIN,,75 MM,,PERLENGKAPAN KAPAL - DECK
AS GEAR Z 9 (REP),LAIN-LAIN AS R Z 9 REP GEA,LAIN-LAIN,GEA,,,PERLENGKAPAN KAPAL - MESIN
AS GEARBOX (REP),LAIN-LAIN AS RBOX REP GEA,LAIN-LAIN,GEA,,,PERLENGKAPAN KAPAL - MESIN
AS GIGI (REP),LAIN-LAIN AS GIGI REP,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS GIGI MODEL KUNCI SEGI ENAM 20MM X DIA 29.4MM X T.55MM,"TOOL AS GIGI MODEL KUNCI SEGI ENAM 20MM X DIA 29 4MM X T 55MM 20MM, 29.4MM, 55MM",TOOL,,"20MM, 29.4MM, 55MM",,PERLENGKAPAN KAPAL - MESIN
AS HAFT ROUNDWELL + HARDENT/SAMBLASING,LAIN-LAIN AS HAFT ROUNDWELL HARDENT SAMBLASING,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS HARD CHROME 25.4 MM,LAIN-LAIN AS HARD CHROME 25 4 MM 25.4 MM,LAIN-LAIN,,25.4 MM,,PERLENGKAPAN KAPAL - MESIN
AS HARD CHROME 90 X 1000 MM,"LAIN-LAIN AS HARD CHROME 90 X 1000 MM 1000 MM, 90 X 1000",LAIN-LAIN,,"1000 MM, 90 X 1000",,PERLENGKAPAN KAPAL - MESIN
AS HARD CHROME DIA 50,LAIN-LAIN AS HARD CHROME DIA 50,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS HARD CHROME Ø 20 X 1000 MM,"LAIN-LAIN AS HARD CHROME Ø 20 X 1000 MM 1000 MM, 20 X 1000",LAIN-LAIN,,"1000 MM, 20 X 1000",,PERLENGKAPAN KAPAL - MESIN
AS HELICAL GEAR Z 35 (REP),LAIN-LAIN AS HELICAL R Z 35 REP GEA,LAIN-LAIN,GEA,,,PERLENGKAPAN KAPAL - MESIN
AS HOLLOW BRONZE,LAIN-LAIN AS HOLLOW BRONZE,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS JOINT,LAIN-LAIN AS JOINT,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS KEMUDI (REP),LAIN-LAIN AS KEMUDI REP,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
AS KRUPP 7225 PREHARDENT DIA 300 X 450,LAIN-LAIN AS KRUPP 7225 PREHARDENT DIA 300 X 450 300 X 450,LAIN-LAIN,,300 X 450,,PERLENGKAPAN KAPAL - MESIN
"AS KUNINGAN SEGI 6 OD. 28,5 X 1000 MM","LAIN-LAIN AS KUNINGAN SEGI 6 OD 28 5 X 1000 MM 1000 MM, 28,5 X 1000",LAIN-LAIN,,"1000 MM, 28,5 X 1000",,PERLENGKAPAN KAPAL - MESIN
AS KUNINGAN SEGI 6. 17 X 500MM,LAIN-LAIN AS KUNINGAN SEGI 6 17 X 500MM 500MM,LAIN-LAIN,,500MM,,PERLENGKAPAN KAPAL - MESIN
AS KUNINGAN SEGI 6. 22 X 1000 MM,"LAIN-LAIN AS KUNINGAN SEGI 6 22 X 1000 MM 1000 MM, 22 X 1000",LAIN-LAIN,,"1000 MM, 22 X 1000",,PERLENGKAPAN KAPAL - MESIN
"AS KUNINGAN SEGI 6.=2"" X 200 MM","LAIN-LAIN AS KUNINGAN SEGI 6 2 X 200 MM 2"", 200 MM",LAIN-LAIN,,"2"", 200 MM",,PERLENGKAPAN KAPAL - MESIN
"AS MODEL BESI PANJANG SERONG 44X19,5X5MM P : 100MM DIA 15MM","LAIN-LAIN AS MODEL BESI PANJANG SERONG 44X19 5X5MM P 100MM DIA 15MM 100MM, 15MM, 44X19",LAIN-LAIN,,"100MM, 15MM, 44X19",,PERLENGKAPAN KAPAL - MESIN
AS MODEL BESI PENDEK TIRUS 30X20X P: 41 MM,STATIONERY AS MODEL BESI PENDEK TIRUS 30X20X P 41 MM 41 MM,STATIONERY,,41 MM,,PERLENGKAPAN KAPAL - MESIN
AS MODEL KUNCI SEGI ENAM,TOOL AS MODEL KUNCI SEGI ENAM,TOOL,,,,PERLENGKAPAN KAPAL - MESIN
AS MOTOR STARTING AE (REP),ELECTRICAL AS MOTOR STARTING AE REP,ELECTRICAL,,,,PERLENGKAPAN KAPAL - MESIN
AS PEN JANGKAR ( REP ) (REP),STATIONERY AS PEN JANGKAR REP REP,STATIONERY,,,,PERLENGKAPAN KAPAL - MESIN
AS PEN PANJANG (REP),STATIONERY AS PEN PANJANG REP,STATIONERY,,,,PERLENGKAPAN KAPAL - MESIN
AS POMPA,PUMP AS POMPA,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
AS POMPA (REP),PUMP AS POMPA REP,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
AS POMPA COMPRESSOR (REP),PUMP AS POMPA COMPRESSOR REP,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
AS POMPA GS (REP),PUMP AS POMPA GS REP,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
AS POMPA HYDROFUR(REP),PUMP AS POMPA HYDROFUR REP,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
AS POMPA PENDINGIN AIR TAWAR (REP),PUMP AS POMPA PENDINGIN AIR TAWAR REP,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
